incident_id,cloud_provider,region,service,service_subtype,start_time,end_time,duration_minutes,severity,status,root_cause_category,root_cause_description,number_of_customers_affected,estimated_revenue_loss_usd,sla_violation,region_impact_score,service_impact_score,ticket_count,ticket_response_time_minutes,ticket_resolution_time_minutes,monitoring_alerts_triggered,detection_method,mitigation_action,number_of_engineers_involved,engineer_response_time_minutes,communication_channels_used,public_status_page_updated,status_page_update_count,user_feedback_score,post_mortem_completed,post_mortem_link,is_recurrent_issue,previous_incident_id,external_factors,scheduled_maintenance_conflict,patch_applied,system_load_before_outage,system_load_after_outage,backup_system_triggered,notes
d864085a-e56c-4578-a527-e0afbd82a668,Oracle,asia-southeast1,Database,RDS,2025-11-26 10:18:08.525119,2025-11-26 10:44:08.525119,26,Medium,Monitoring,Human Error,Simulated cause for ML,2730,682144.62,Yes,64,50,46,58,446,8,Automated Monitoring,Patch,8,28,SMS,Yes,2,1,Yes,,No,,None,Yes,Yes,37,21,Yes,Simulated note
1613fedd-1ada-4842-8280-912f31f64bb6,IBM,asia-southeast1,Networking,BigQuery,2025-05-15 10:18:08.525165,2025-05-15 14:59:08.525165,281,Low,Investigating,Security,Simulated cause for ML,93534,923663.13,Yes,68,100,46,12,385,13,Alert,Rollback,2,18,PagerDuty,Yes,3,3,No,,No,,Weather,Yes,Yes,90,63,Yes,Simulated note
fafc0ea1-e81d-422b-9038-4a69cb3889be,Azure,asia-southeast1,Database,S3,2025-07-10 10:18:08.525196,2025-07-10 14:27:08.525196,249,Medium,Resolved,Unknown,Simulated cause for ML,77122,137784.47,No,7,86,1,50,127,17,Customer Report,Rollback,6,16,Slack,Yes,2,3,No,,Yes,,Vendor,Yes,Yes,26,12,Yes,Simulated note
366204f5-78dd-4bbf-b482-7d26e5e8eddc,IBM,europe-west2,AI/ML,BigQuery,2025-03-20 10:18:08.525225,2025-03-20 18:21:08.525225,483,High,Monitoring,Hardware,Simulated cause for ML,98673,215857.12,Yes,7,73,38,39,380,7,Customer Report,Scale Up,3,16,Email,Yes,1,1,No,,Yes,,Vendor,Yes,Yes,11,72,Yes,Simulated note
eee4443d-a795-4af0-b96f-f267686a92eb,Azure,us-east-1,Storage,VPC,2025-03-11 10:18:08.525261,2025-03-11 13:14:08.525261,176,Critical,Investigating,Unknown,Simulated cause for ML,39848,238833.12,No,37,28,25,41,369,2,Alert,Scale Up,8,33,PagerDuty,Yes,5,1,No,,Yes,,DDoS,No,Yes,32,62,Yes,Simulated note
7644aaa6-3744-44b8-8a35-02e53df5c5f5,GCP,asia-southeast1,Database,BigQuery,2025-08-19 10:18:08.525300,2025-08-19 20:25:08.525300,607,Critical,Investigating,Hardware,Simulated cause for ML,77328,146674.48,Yes,79,77,86,14,280,7,Customer Report,Restart,8,37,Email,No,1,1,Yes,,No,,None,Yes,Yes,16,92,No,Simulated note
cfb27c22-d9f4-408a-a85c-6212bc317d88,Oracle,us-east-1,Networking,BigQuery,2026-01-23 10:18:08.525336,2026-01-23 14:03:08.525336,225,Critical,Resolved,Network,Simulated cause for ML,73415,715087.87,No,92,75,78,31,441,3,Alert,Restart,9,57,SMS,Yes,0,2,No,,No,,Weather,Yes,No,18,75,Yes,Simulated note
acde38a5-bc5b-46bb-8c02-2a1556c61c15,AWS,us-east-1,Compute,Cloud Functions,2025-07-04 10:18:08.525374,2025-07-04 14:05:08.525374,227,Low,Resolved,Human Error,Simulated cause for ML,77965,48524.35,No,62,76,12,31,248,16,Customer Report,Scale Up,4,41,Slack,No,5,4,No,,No,,Weather,Yes,Yes,100,89,No,Simulated note
a8acd5a6-ec76-4067-9cf8-f80d1e915930,GCP,europe-west2,Compute,RDS,2025-10-24 10:18:08.525412,2025-10-24 14:12:08.525412,234,Low,Monitoring,Human Error,Simulated cause for ML,19960,530937.53,Yes,88,51,52,24,463,18,Customer Report,Patch,4,22,Email,No,5,4,No,,Yes,,Weather,No,Yes,58,18,No,Simulated note
2cb1802d-8dcb-4059-aa7a-eb2123b160b9,Oracle,us-west-2,Compute,S3,2025-04-09 10:18:08.525448,2025-04-09 21:30:08.525448,672,High,Monitoring,Software,Simulated cause for ML,90901,451729.59,Yes,91,1,12,35,250,6,Customer Report,Rollback,8,26,Email,Yes,5,2,No,,No,,DDoS,No,No,24,88,Yes,Simulated note
b3a5c9e4-19ee-4803-b449-9131bec4cebb,GCP,europe-west2,Storage,VPC,2025-09-18 10:18:08.525494,2025-09-18 12:57:08.525494,159,Low,Resolved,Security,Simulated cause for ML,48307,8945.12,Yes,86,22,69,57,442,20,Customer Report,Scale Up,2,17,Email,Yes,1,4,Yes,,No,,Vendor,Yes,No,59,95,Yes,Simulated note
b854c04b-c747-4ec0-914e-6c8b324263ed,AWS,us-west-2,Database,Cloud Functions,2025-02-23 10:18:08.525531,2025-02-23 22:03:08.525531,705,Low,Investigating,Network,Simulated cause for ML,98250,708827.84,No,96,89,13,14,309,19,Customer Report,Scale Up,6,58,PagerDuty,Yes,4,4,Yes,,Yes,,None,Yes,No,18,25,No,Simulated note
3b8f632c-0832-4db9-9a32-82f401402430,Azure,us-east-1,Compute,BigQuery,2025-12-03 10:18:08.525566,2025-12-03 11:26:08.525566,68,Medium,Investigating,Hardware,Simulated cause for ML,39995,549127.68,Yes,35,82,18,35,380,20,Automated Monitoring,Patch,9,10,Email,No,2,5,Yes,,Yes,,DDoS,No,No,10,61,Yes,Simulated note
4d38ad3f-b759-4dd2-ab76-59e0b3bd293c,AWS,europe-west2,Networking,BigQuery,2025-03-24 10:18:08.525604,2025-03-24 21:56:08.525604,698,High,Monitoring,Network,Simulated cause for ML,65766,96960.33,Yes,35,99,42,50,105,7,Alert,Scale Up,6,28,SMS,No,1,1,Yes,,Yes,,Weather,Yes,No,20,39,Yes,Simulated note
eeb570d7-b9a0-408c-9b41-8482464fd0f5,IBM,us-east-1,Database,RDS,2026-01-31 10:18:08.525635,2026-01-31 17:59:08.525635,461,Critical,Monitoring,Hardware,Simulated cause for ML,60283,927730.22,Yes,36,18,5,56,116,15,Automated Monitoring,Restart,3,36,PagerDuty,No,0,5,Yes,,Yes,,DDoS,Yes,Yes,82,29,No,Simulated note
1625c440-d166-4953-8ce1-b7f6f7f4472e,IBM,us-east-1,AI/ML,BigQuery,2025-09-28 10:18:08.525662,2025-09-28 12:15:08.525662,117,Medium,Investigating,Unknown,Simulated cause for ML,91174,134726.21,Yes,86,83,38,28,49,19,Alert,Patch,3,14,PagerDuty,Yes,3,5,No,,No,,Vendor,No,No,63,48,Yes,Simulated note
5a5f4f99-4a6a-45ae-b761-a04cff34285f,IBM,us-east-1,Compute,RDS,2025-09-03 10:18:08.525689,2025-09-03 18:59:08.525689,521,Low,Investigating,Unknown,Simulated cause for ML,24862,438926.88,Yes,86,83,93,13,74,16,Customer Report,Scale Up,8,58,Email,Yes,4,2,No,,Yes,,DDoS,Yes,Yes,21,63,Yes,Simulated note
4c7f7c35-923a-4c1b-834d-5a5b34d1db3c,GCP,asia-southeast1,Storage,Lambda,2025-09-11 10:18:08.525714,2025-09-11 21:33:08.525714,675,Critical,Resolved,Software,Simulated cause for ML,1761,181348.68,Yes,31,12,76,51,356,5,Automated Monitoring,Restart,3,39,Slack,No,2,5,No,,No,,None,No,No,73,78,No,Simulated note
6f9678a5-5332-4d7a-9d8e-1e0eb8580d30,Azure,europe-west2,Compute,RDS,2025-04-30 10:18:08.525748,2025-04-30 15:41:08.525748,323,High,Investigating,Network,Simulated cause for ML,10030,6400.46,Yes,84,27,87,24,361,19,Customer Report,Scale Up,4,31,PagerDuty,No,5,1,Yes,,Yes,,None,Yes,Yes,99,80,Yes,Simulated note
d6d22432-838e-4a62-b1e8-e3f6ca9121e8,GCP,europe-west2,Compute,Cloud Functions,2025-04-20 10:18:08.525789,2025-04-20 18:41:08.525789,503,Critical,Investigating,Hardware,Simulated cause for ML,29695,254770.54,No,42,14,43,26,148,15,Customer Report,Scale Up,2,22,Email,Yes,3,1,Yes,,Yes,,None,No,Yes,77,96,No,Simulated note
7f98042e-ecba-4ba6-b406-4b92316a5a02,IBM,us-west-2,Networking,VPC,2025-09-23 10:18:08.525818,2025-09-23 16:02:08.525818,344,Medium,Investigating,Security,Simulated cause for ML,1643,233703.39,No,75,60,18,36,310,19,Automated Monitoring,Patch,9,13,Slack,Yes,1,2,Yes,,Yes,,None,Yes,Yes,56,25,No,Simulated note
33295240-f241-47a7-8c5d-cb2989fee91d,Azure,europe-west2,Networking,S3,2025-10-02 10:18:08.525862,2025-10-02 17:47:08.525862,449,Medium,Investigating,Hardware,Simulated cause for ML,15392,957458.16,Yes,53,87,38,13,62,5,Alert,Patch,1,44,SMS,Yes,5,3,Yes,,No,,DDoS,Yes,Yes,77,29,Yes,Simulated note
9f425078-2e32-470c-8b63-49fe08ff46ee,IBM,us-west-2,Compute,S3,2025-08-27 10:18:08.525894,2025-08-27 15:59:08.525894,341,Medium,Investigating,Hardware,Simulated cause for ML,95257,355062.79,Yes,11,86,93,23,389,19,Alert,Scale Up,6,58,PagerDuty,Yes,1,2,Yes,,No,,None,Yes,No,69,71,No,Simulated note
1989b767-ed8d-4767-b379-3558fa180f08,Oracle,asia-southeast1,Database,EC2,2025-09-30 10:18:08.525932,2025-09-30 18:19:08.525932,481,Critical,Resolved,Software,Simulated cause for ML,71072,315024.92,No,65,86,97,54,430,2,Automated Monitoring,Rollback,2,37,Slack,No,0,1,No,,Yes,,Vendor,No,Yes,35,90,Yes,Simulated note
253ee570-932a-407f-93be-9accb2fc69ff,Oracle,asia-southeast1,AI/ML,BigQuery,2025-09-08 10:18:08.525959,2025-09-08 21:48:08.525959,690,Low,Resolved,Unknown,Simulated cause for ML,24703,631507.59,Yes,21,81,94,19,466,15,Automated Monitoring,Patch,4,41,PagerDuty,No,5,4,No,,No,,Vendor,No,Yes,48,26,No,Simulated note
cea3b589-cf3f-4a95-8dfc-2f36a4caea49,IBM,europe-west2,Storage,S3,2025-04-10 10:18:08.525987,2025-04-10 16:51:08.525987,393,Critical,Resolved,Network,Simulated cause for ML,36398,657270.75,No,39,79,59,25,290,2,Customer Report,Scale Up,8,58,Email,Yes,0,4,No,,No,,Weather,Yes,No,70,89,No,Simulated note
6caebfb2-e764-4e21-919f-417f94f6c8c0,Oracle,us-west-2,Database,Cloud Functions,2026-02-12 10:18:08.526037,2026-02-12 17:21:08.526037,423,Critical,Resolved,Hardware,Simulated cause for ML,6907,51692.04,Yes,68,39,2,9,374,6,Customer Report,Scale Up,1,59,PagerDuty,Yes,4,1,Yes,,No,,None,No,No,61,90,Yes,Simulated note
27616030-d314-4e12-8df4-867a2453e54c,Oracle,europe-west2,Networking,Lambda,2025-09-29 10:18:08.526065,2025-09-29 19:42:08.526065,564,Low,Monitoring,Hardware,Simulated cause for ML,12216,39797.78,No,43,6,72,53,480,1,Alert,Patch,5,33,Slack,Yes,0,2,Yes,,Yes,,None,No,No,95,67,Yes,Simulated note
7300f86d-e619-410a-91e6-3a6ad971d22c,GCP,asia-southeast1,AI/ML,BigQuery,2026-01-24 10:18:08.526091,2026-01-24 16:22:08.526091,364,Critical,Resolved,Hardware,Simulated cause for ML,12523,569467.87,No,41,58,19,44,168,7,Automated Monitoring,Restart,6,24,SMS,Yes,3,5,Yes,,No,,DDoS,Yes,Yes,32,35,Yes,Simulated note
18c33abc-d5f6-4957-9850-1fb7cf51bf15,IBM,asia-southeast1,Storage,S3,2025-03-01 10:18:08.526117,2025-03-01 21:44:08.526117,686,Critical,Resolved,Human Error,Simulated cause for ML,66438,23944.05,No,3,59,61,25,156,7,Alert,Scale Up,10,32,Email,No,0,1,No,,No,,None,Yes,No,80,100,No,Simulated note
af572129-af2c-43fb-9577-40d08c71ecf9,Azure,us-west-2,Database,VPC,2025-10-26 10:18:08.526154,2025-10-26 13:23:08.526154,185,Low,Resolved,Human Error,Simulated cause for ML,75243,968599.34,No,56,90,13,45,61,8,Automated Monitoring,Patch,1,34,Slack,Yes,2,3,No,,No,,None,No,No,56,59,No,Simulated note
4214bc19-d484-4bec-8e95-46cccc26519b,Azure,asia-southeast1,Networking,RDS,2025-03-11 10:18:08.526199,2025-03-11 21:14:08.526199,656,Medium,Monitoring,Network,Simulated cause for ML,99541,227573.01,Yes,2,48,65,27,390,2,Customer Report,Patch,6,27,SMS,Yes,4,5,No,,Yes,,Weather,Yes,Yes,26,49,No,Simulated note
bf954dee-e198-43f2-ad3d-7d6ab988e238,Oracle,us-west-2,Database,RDS,2026-01-14 10:18:08.526235,2026-01-14 18:05:08.526235,467,Low,Monitoring,Security,Simulated cause for ML,97382,67711.35,No,39,52,60,34,248,18,Alert,Scale Up,5,13,SMS,Yes,0,4,Yes,,Yes,,DDoS,No,No,49,27,Yes,Simulated note
5c887f3a-6417-43df-81f8-e3ff86397e21,GCP,us-east-1,Compute,Cloud Functions,2025-02-14 10:18:08.526264,2025-02-14 16:24:08.526264,366,Low,Resolved,Human Error,Simulated cause for ML,4867,39650.79,No,45,28,1,20,82,8,Customer Report,Patch,5,45,Email,Yes,4,4,No,,No,,Vendor,Yes,No,33,100,No,Simulated note
dcb85877-4ed1-43b7-bef7-326f21f5a62a,GCP,europe-west2,AI/ML,VPC,2025-04-21 10:18:08.526297,2025-04-21 11:20:08.526297,62,Critical,Investigating,Software,Simulated cause for ML,84675,382716.19,No,44,22,29,9,370,8,Alert,Restart,7,50,SMS,Yes,4,2,Yes,,Yes,,Weather,Yes,Yes,65,29,Yes,Simulated note
5a0f3159-1fda-4367-922f-baac5d98fbde,Azure,europe-west2,AI/ML,RDS,2025-10-20 10:18:08.526342,2025-10-20 20:11:08.526342,593,High,Monitoring,Network,Simulated cause for ML,26152,198051.53,No,25,24,74,50,138,8,Automated Monitoring,Rollback,10,27,PagerDuty,No,3,2,Yes,,Yes,,Vendor,Yes,No,51,56,No,Simulated note
baf70c50-47ba-49a9-b372-ace4522518ac,AWS,europe-west2,Database,VPC,2025-12-24 10:18:08.526375,2025-12-24 15:27:08.526375,309,High,Resolved,Security,Simulated cause for ML,25510,936307.17,No,36,55,99,34,243,11,Alert,Restart,2,53,PagerDuty,Yes,3,5,No,,No,,Vendor,No,No,21,85,Yes,Simulated note
19507472-4ee0-43a7-b99e-4ef20e3c96e2,GCP,us-west-2,AI/ML,BigQuery,2025-11-11 10:18:08.526405,2025-11-11 10:42:08.526405,24,Critical,Resolved,Hardware,Simulated cause for ML,35109,644107.46,Yes,48,93,64,50,57,17,Automated Monitoring,Patch,4,18,Slack,No,0,4,No,,Yes,,Vendor,Yes,No,26,27,Yes,Simulated note
0a1de7c3-d732-4086-8c5c-a2f1fc3f1399,GCP,us-west-2,Compute,EC2,2026-02-02 10:18:08.526433,2026-02-02 15:55:08.526433,337,High,Investigating,Human Error,Simulated cause for ML,6991,802388.24,No,16,73,46,46,148,17,Customer Report,Patch,6,6,SMS,Yes,5,1,Yes,,No,,DDoS,No,No,98,68,No,Simulated note
26fa9e4e-3da4-4844-b14b-df6103b6f9f3,AWS,asia-southeast1,AI/ML,S3,2025-05-29 10:18:08.526459,2025-05-29 15:55:08.526459,337,High,Resolved,Software,Simulated cause for ML,97799,410811.41,Yes,79,83,48,45,393,3,Automated Monitoring,Rollback,6,56,SMS,Yes,5,1,Yes,,No,,Weather,No,No,54,74,No,Simulated note
f06b33a9-977a-4ae0-bc72-aa116cb4511d,Oracle,europe-west2,Networking,VPC,2025-06-01 10:18:08.526489,2025-06-01 14:01:08.526489,223,Critical,Investigating,Software,Simulated cause for ML,78395,583062.3,No,63,40,35,21,460,13,Automated Monitoring,Scale Up,1,27,SMS,Yes,0,4,No,,No,,Vendor,No,No,77,23,No,Simulated note
fb41ee5f-b2b4-483f-9600-6ee211225e2b,Oracle,us-east-1,Networking,VPC,2025-07-27 10:18:08.526515,2025-07-27 14:13:08.526515,235,High,Investigating,Hardware,Simulated cause for ML,67419,650865.98,Yes,37,69,31,16,205,7,Alert,Rollback,1,28,PagerDuty,No,5,3,Yes,,No,,Weather,Yes,Yes,73,80,Yes,Simulated note
83894bbb-6618-4281-b256-6cd41ab39539,AWS,europe-west2,AI/ML,RDS,2026-01-02 10:18:08.526541,2026-01-02 18:08:08.526541,470,Low,Resolved,Human Error,Simulated cause for ML,52447,155427.55,No,56,64,70,58,407,11,Customer Report,Scale Up,5,49,SMS,No,4,3,No,,No,,Vendor,Yes,No,27,21,No,Simulated note
aacc002c-3a04-4738-a6bd-e7c72c948e19,Azure,us-west-2,Database,S3,2026-01-13 10:18:08.526585,2026-01-13 17:46:08.526585,448,High,Monitoring,Unknown,Simulated cause for ML,40818,827172.09,No,68,90,81,48,222,10,Alert,Restart,4,28,Slack,Yes,5,3,No,,Yes,,Vendor,No,No,86,24,Yes,Simulated note
81016d08-e09f-45a6-bf92-790d73fd8529,Azure,europe-west2,Compute,Cloud Functions,2025-10-29 10:18:08.526624,2025-10-29 19:20:08.526624,542,High,Resolved,Unknown,Simulated cause for ML,97040,997098.36,Yes,33,66,30,28,123,6,Customer Report,Rollback,3,21,SMS,Yes,4,2,Yes,,Yes,,Weather,Yes,Yes,18,58,Yes,Simulated note
bafd3a4a-a6b8-4e6d-8fc4-5835775e8e90,IBM,us-west-2,Database,Lambda,2025-04-27 10:18:08.526668,2025-04-27 15:11:08.526668,293,Low,Monitoring,Hardware,Simulated cause for ML,55649,300398.99,No,46,13,39,23,120,19,Automated Monitoring,Scale Up,1,48,Email,Yes,2,1,No,,No,,None,No,Yes,66,92,No,Simulated note
b465c01c-44a9-4da6-9965-510a1ab0244c,IBM,europe-west2,AI/ML,S3,2025-07-02 10:18:08.526719,2025-07-02 14:45:08.526719,267,Low,Monitoring,Human Error,Simulated cause for ML,79782,45324.71,Yes,1,53,51,51,343,7,Customer Report,Scale Up,6,40,PagerDuty,No,3,1,Yes,,No,,Weather,Yes,No,48,31,Yes,Simulated note
62b75d47-d05d-4bb1-9293-4a79905daa41,AWS,us-east-1,AI/ML,Lambda,2025-10-22 10:18:08.526765,2025-10-22 15:42:08.526765,324,Low,Monitoring,Hardware,Simulated cause for ML,33744,553689.66,No,29,2,4,14,404,8,Customer Report,Patch,5,60,Slack,Yes,1,1,Yes,,Yes,,Vendor,Yes,Yes,10,13,Yes,Simulated note
53b5cbbd-cdd6-44e4-89ff-17f59a893e8b,AWS,us-east-1,Networking,S3,2025-02-12 10:18:08.526804,2025-02-12 18:39:08.526804,501,Low,Resolved,Network,Simulated cause for ML,41098,612943.79,No,61,49,29,45,192,3,Automated Monitoring,Rollback,7,55,Email,Yes,3,2,No,,No,,Weather,No,Yes,32,79,No,Simulated note
6246ce63-dadf-4554-9d27-2d69dfcf827e,Azure,europe-west2,Storage,VPC,2025-06-13 10:18:08.526837,2025-06-13 11:14:08.526837,56,High,Resolved,Unknown,Simulated cause for ML,20640,25473.38,No,3,11,92,37,80,4,Customer Report,Scale Up,4,6,Slack,No,0,5,Yes,,Yes,,Weather,No,Yes,65,73,Yes,Simulated note
53b2f1be-f344-40dc-8ef6-08adbb5c13d1,IBM,us-east-1,Database,BigQuery,2025-07-31 10:18:08.526869,2025-07-31 19:35:08.526869,557,Medium,Resolved,Unknown,Simulated cause for ML,341,890956.23,Yes,78,99,67,48,186,20,Customer Report,Restart,4,22,Slack,No,0,5,Yes,,Yes,,Vendor,Yes,No,12,27,No,Simulated note
7bd956af-61b1-42e2-afbc-9a4f0ce83193,Azure,europe-west2,AI/ML,Lambda,2025-05-03 10:18:08.526911,2025-05-03 17:50:08.526911,452,Low,Resolved,Network,Simulated cause for ML,18415,200349.24,Yes,39,86,58,21,222,10,Automated Monitoring,Restart,1,40,PagerDuty,No,3,3,No,,No,,Weather,Yes,No,96,35,No,Simulated note
6d676750-145a-494e-b9ab-577b8281fe47,AWS,us-east-1,Database,Cloud Functions,2025-03-19 10:18:08.526942,2025-03-19 11:37:08.526942,79,Medium,Investigating,Hardware,Simulated cause for ML,22013,906001.54,Yes,94,17,46,39,440,15,Customer Report,Scale Up,9,33,SMS,Yes,2,4,Yes,,No,,Vendor,Yes,No,75,55,No,Simulated note
39d4fbce-c04d-4ad3-a901-664e4bf296a5,GCP,europe-west2,Networking,RDS,2025-11-29 10:18:08.526969,2025-11-29 14:38:08.526969,260,Critical,Resolved,Software,Simulated cause for ML,28135,278307.39,No,52,18,11,38,315,17,Customer Report,Restart,10,18,Slack,Yes,1,5,No,,Yes,,Vendor,No,Yes,42,32,No,Simulated note
c17bb2e7-822a-41ad-9220-8c01772a31cb,AWS,us-east-1,Storage,BigQuery,2025-07-02 10:18:08.527009,2025-07-02 14:09:08.527009,231,Low,Resolved,Human Error,Simulated cause for ML,25585,255211.18,No,32,46,19,11,235,1,Automated Monitoring,Patch,7,55,PagerDuty,No,0,1,No,,No,,Vendor,Yes,Yes,76,45,Yes,Simulated note
8ee27c11-ce1e-40d0-b99d-6a44e47a5908,IBM,us-west-2,Compute,BigQuery,2025-08-15 10:18:08.527050,2025-08-15 22:08:08.527050,710,High,Resolved,Software,Simulated cause for ML,52769,441817.17,No,33,40,80,29,94,1,Customer Report,Rollback,1,46,SMS,Yes,5,2,Yes,,Yes,,None,Yes,Yes,22,54,Yes,Simulated note
29ac07be-df82-4357-9406-8e50f8feb562,AWS,us-east-1,Compute,VPC,2026-02-11 10:18:08.527109,2026-02-11 16:40:08.527109,382,High,Monitoring,Hardware,Simulated cause for ML,51916,63850.99,Yes,58,31,42,33,88,5,Customer Report,Restart,3,20,PagerDuty,Yes,5,4,Yes,,Yes,,DDoS,Yes,Yes,18,91,No,Simulated note
9d08b307-6cbc-421e-b893-a9181a56f863,Azure,asia-southeast1,AI/ML,Cloud Functions,2026-02-06 10:18:08.527141,2026-02-06 20:49:08.527141,631,Critical,Monitoring,Network,Simulated cause for ML,90604,67044.58,Yes,55,76,99,53,42,6,Alert,Patch,2,41,Slack,No,2,4,No,,Yes,,Weather,No,Yes,61,18,No,Simulated note
